OBJECTID,NAME,CAPITAL,name_cn,地区国家,累计确诊,新增确诊,Shape_Length,Shape_Area
1,AUSTRALIA,CANBERRA,澳大利亚,澳大利亚,7,2,206.4865949311044,697.1114800574247
2,CAMBODIA,PHNOM PENH,柬埔寨,柬埔寨,1,0,17.283266000242786,15.09745870404986
3,CANADA,OTTAWA,加拿大,加拿大,3,1,1555.8759270941462,1647.7500982682654
4,CHINA,BEIJING,中国,中国,7736,1739,248.8216693624411,958.1973887475898
5,FRANCE,PARIS,法国,法国,4,1,52.88291275416734,65.77613102716322
6,GERMANY,BERLIN,德国,德国,4,3,40.21621537581479,46.02332184825026
7,JAPAN,TOKYO,日本,日本,7,1,81.93419085400431,38.97019479375141
8,"KOREA, REPUBLIC OF",SEOUL,韩国,韩国,4,0,16.01194866250559,8.870230280248608
9,MALAYSIA,KUALA LUMPUR,马来西亚,马来西亚,4,0,49.79989904781451,27.106260339720556
10,NEPAL,KATHMANDU,尼泊尔,尼泊尔,1,0,20.02563636391712,13.656719692751231
11,SRI LANKA,COLOMBO,斯里兰卡,斯里兰卡,1,0,12.089329830229625,4.790627305949876
12,THAILAND,BANGKOK,泰国,泰国,14,0,54.581789578607015,42.558096872050044
13,UNITED ARAB EMIRATES,ABU DHABI,阿联酋,阿联酋,4,4,17.674853161960147,8.42085123990175
14,UNITED STATES,WASHINGTON,美国,美国,5,0,480.499004202442,1109.0039059704707
15,VIETNAM,HA NOI,越南,越南,2,0,49.97056195189593,27.025888705025615
16,Singapore,,新加坡,新加坡,7,0,1.2689056078172032,0.10466184494510426
