OBJECTID,NAME,CAPITAL,name_cn,OBJECTID1,地区国家,累计确诊,新增确诊,Shape_Length,Shape_Area
1,AFGHANISTAN,KABUL,阿富汗,2,阿富汗,1,0,44.39791672042403,61.77838504385045
2,ALGERIA,ALGIERS,阿尔及利亚,1,阿尔及利亚,1,0,64.78983603064924,211.07810982477505
3,AUSTRALIA,CANBERRA,澳大利亚,8,澳大利亚,23,0,206.4865949311044,697.1114800574247
4,AUSTRIA,VIENNA,奥地利,7,奥地利,4,2,18.905693502473344,9.735114934724765
5,BELARUS,MINSK,白俄罗斯,12,白俄罗斯,1,1,27.870191347539777,28.061685716400376
6,BELGIUM,BRUSSELS,比利时,14,比利时,1,0,9.726358516656175,3.4906112792500434
7,BRAZIL,BRASILIA,巴西,11,巴西,1,0,164.12452251137518,707.1395292690265
8,CAMBODIA,PHNOM PENH,柬埔寨,25,柬埔寨,1,0,17.283266000242786,15.09745870404986
9,CANADA,OTTAWA,加拿大,24,加拿大,11,0,1555.8759270941462,1647.7500982682654
10,CHINA,BEIJING,中国,53,中国,79389,430,248.8216693624411,958.1973887475898
11,CROATIA,ZAGREB,克罗地亚,27,克罗地亚,3,0,22.812406876081635,6.473345062440212
12,DENMARK,COPENHAGEN,丹麦,15,丹麦,1,0,20.984591407458968,4.780220801379913
13,EGYPT,CAIRO,埃及,5,埃及,1,0,49.65185598660022,91.19834555634189
14,ESTONIA,TALLINN,爱沙尼亚,6,爱沙尼亚,1,0,12.458160889657083,6.39265751952232
15,FINLAND,HELSINKI,芬兰,20,芬兰,2,0,49.60063770424547,62.02673094352433
16,FRANCE,PARIS,法国,18,法国,38,20,52.88291275416734,65.77613102716322
17,GEORGIA,TBILISI,格鲁吉亚,21,格鲁吉亚,1,0,16.746239844669926,7.329909273643759
18,GERMANY,BERLIN,德国,16,德国,26,5,40.21621537581479,46.02332184825026
19,GREECE,ATHENS,希腊,43,希腊,3,2,39.99982541227063,12.204790855850106
20,INDIA,NEW DELHI,印度,50,印度,3,0,139.9762158568565,279.551567762552
21,IRAN,TEHRAN,伊朗,47,伊朗,245,104,64.97647898598436,156.9243202616742
22,IRAQ,BAGHDAD,伊拉克,46,伊拉克,7,1,30.75412137504154,43.00595817705017
23,ISRAEL,JERUSALEM,以色列,48,以色列,3,1,9.788229380472943,2.315831294035185
24,ITALY,ROME,意大利,49,意大利,650,250,58.821775343843065,33.8576392138523
25,JAPAN,TOKYO,日本,37,日本,210,24,81.93419085400431,38.97019479375141
26,"KOREA, REPUBLIC OF",SEOUL,韩国,22,韩国,2337,571,16.01194866250559,8.870230280248608
27,KUWAIT,KUWAIT,科威特,26,科威特,43,0,6.643082132156529,1.5868963288747104
28,LEBANON,BEYROUTH,黎巴嫩,28,黎巴嫩,2,0,4.281005656459998,0.757334093875028
29,LITHUANIA,VILNIUS,立陶宛,29,立陶宛,1,1,15.167299420447042,10.254560950649939
30,MALAYSIA,KUALA LUMPUR,马来西亚,31,马来西亚,24,2,49.79989904781451,27.106260339720556
31,NEPAL,KATHMANDU,尼泊尔,33,尼泊尔,1,0,20.02563636391712,13.656719692751231
32,NETHERLANDS,AMSTERDAM,荷兰,23,荷兰,1,1,13.323796425212892,3.8136207710999575
33,NEW ZEALAND,AVARUA,新西兰,45,新西兰,1,1,56.3000914584292,28.263342103650487
34,NIGERIA,ABUDJA,尼日利亚,34,尼日利亚,1,1,40.65620397444855,74.7900656862754
35,NORWAY,OSLO,挪威,35,挪威,4,3,237.4227786521175,77.90049586680038
36,OMAN,MUSCAT,阿曼,4,阿曼,6,2,26.02143315594352,28.39426364676298
37,PAKISTAN,ISLAMABAD,巴基斯坦,9,巴基斯坦,2,0,57.33372751374997,75.43359703027468
38,PHILIPPINES,MANILA,菲律宾,19,菲律宾,3,0,78.00998268593636,22.26058326517528
39,ROMANIA,BUCURESTI,罗马尼亚,30,罗马尼亚,1,0,24.401269642290146,27.38647333444998
40,RUSSIAN FEDERATION,MOSCOW,俄罗斯,17,俄罗斯,2,0,1018.4494722665427,2909.6137863925564
41,SPAIN,MADRID,西班牙,42,西班牙,25,13,39.510725651688084,52.655416386525594
42,SRI LANKA,COLOMBO,斯里兰卡,40,斯里兰卡,1,0,12.089329830229625,4.790627305949876
43,SWEDEN,STOCKHOLM,瑞典,38,瑞典,7,5,60.65674147183005,77.7613184096759
44,SWITZERLAND,BERN,瑞士,39,瑞士,6,5,12.401538231238309,4.980928708144593
45,THAILAND,BANGKOK,泰国,41,泰国,40,0,54.581789578607015,42.558096872050044
46,UNITED ARAB EMIRATES,ABU DHABI,阿联酋,3,阿联酋,19,6,17.674853161960147,8.42085123990175
47,UNITED KINGDOM,LONDON,英国,51,英国,16,3,66.53107646064396,30.733379083350727
48,UNITED STATES,WASHINGTON,美国,32,美国,59,0,480.499004202442,1109.0039059704707
49,VIETNAM,HA NOI,越南,52,越南,16,0,49.97056195189593,27.025888705025615
50,Singapore,,新加坡,44,新加坡,96,3,1.2689056078172032,0.10466184494510426
51,,,其他,36,其他,705,0,0.47041055884463034,0.013365553414913307
