OBJECTID,globe_中文名,name_cn,gb_yq_20200303xls_OBJECTID,地区国家,累计确诊,新增确诊,gb_yq_20200303xls_累计死亡,gb_yq_20200303xls_新增死亡,Shape_Length,Shape_Area
1,阿尔及利亚,阿尔及利亚,1,阿尔及利亚,5,4,0,0,68.11289203523224,213.6824817901263
2,阿富汗,阿富汗,2,阿富汗,1,0,0,0,46.10315447724969,61.25874997452199
3,阿联酋,阿联酋,3,阿联酋,21,0,0,0,15.781914584221616,7.623950770634311
4,阿曼,阿曼,4,阿曼,6,0,0,0,30.60536529088686,26.863630254245184
5,阿塞拜疆,阿塞拜疆,5,阿塞拜疆,3,0,0,0,20.694081153422545,8.877991750422158
6,埃及,埃及,6,埃及,2,0,0,0,46.51183683093997,88.79406872386022
7,爱尔兰,爱尔兰,7,爱尔兰,1,0,0,0,25.60628985993701,9.67974515082728
8,爱沙尼亚,爱沙尼亚,8,爱沙尼亚,1,0,0,0,19.427155810421777,6.571056220254507
9,安道尔,安道尔,9,安道尔,1,1,0,0,1.148365581641772,0.048186015059485804
10,奥地利,奥地利,10,奥地利,18,8,0,0,19.785455433542936,9.894883715319143
11,澳大利亚,澳大利亚,11,澳大利亚,33,6,1,0,218.54706975542805,697.4668706949112
12,巴基斯坦,巴基斯坦,12,巴基斯坦,5,1,0,0,71.22729220349414,74.32325893852614
13,巴林,巴林,13,巴林,49,2,0,0,0.7772869774829815,0.017878320008286028
14,巴西,巴西,14,巴西,2,0,0,0,203.68408592836326,713.6777002155402
15,白俄罗斯,白俄罗斯,15,白俄罗斯,1,0,0,0,26.620256515886354,29.22619005212672
16,比利时,比利时,17,比利时,8,7,0,0,9.590603160642818,3.8561271050731585
17,冰岛,冰岛,18,冰岛,9,7,0,0,44.847522370830106,19.530864421033492
18,丹麦,丹麦,19,丹麦,5,1,0,0,26.661887386371166,6.24551876266293
19,德国,德国,20,德国,157,28,0,0,43.899459389523734,46.496000691781006
20,多米尼加,多米尼加,21,多米尼加,1,0,0,0,11.055731619200202,4.114215997556154
21,俄罗斯,俄罗斯,22,俄罗斯,3,1,0,0,1086.6226050090904,2913.4201356909866
22,厄瓜多尔,厄瓜多尔,23,厄瓜多尔,6,5,0,0,31.184868452122494,20.283979588690894
23,法国,法国,24,法国,191,91,3,1,65.84948177344266,66.25266750373707
24,菲律宾,菲律宾,25,菲律宾,3,0,1,0,104.06761462124311,23.03913329305567
25,芬兰,芬兰,26,芬兰,7,1,0,0,54.27434433195834,62.15277280808904
26,格鲁吉亚,格鲁吉亚,27,格鲁吉亚,3,0,0,0,15.20674687353579,7.632983375562627
27,韩国,韩国,28,韩国,4812,600,28,6,17.98289336983087,9.888493694113702
28,荷兰,荷兰,29,荷兰,18,5,0,0,18.333355500570594,4.0540087645325915
29,加拿大,加拿大,30,加拿大,27,8,0,0,1539.468150466872,1671.6081244929162
30,柬埔寨,柬埔寨,31,柬埔寨,1,0,0,0,18.63402528346828,15.451451733370222
31,捷克,捷克,32,捷克,3,0,0,0,15.818643910981182,9.585600844794435
32,卡塔尔,卡塔尔,33,卡塔尔,7,4,0,0,4.7873525990949535,1.1415420848891193
33,科威特,科威特,34,科威特,56,0,0,0,7.773666661161529,1.8230353152445502
34,克罗地亚,克罗地亚,35,克罗地亚,9,2,0,0,27.832937848644814,6.697720489730894
35,拉脱维亚,拉脱维亚,36,拉脱维亚,1,1,0,0,17.674475146876787,8.498445404999151
36,黎巴嫩,黎巴嫩,37,黎巴嫩,13,3,0,0,4.3968577364534935,0.9857291017588082
37,立陶宛,立陶宛,38,立陶宛,1,0,0,0,13.70673626173672,9.209607774088758
38,卢森堡,卢森堡,39,卢森堡,1,0,0,0,2.225166435247802,0.33199722996221875
39,罗马尼亚,罗马尼亚,40,罗马尼亚,3,0,0,0,26.454777954956725,26.917526584737633
40,马来西亚,马来西亚,41,马来西亚,29,5,0,0,49.83001741353569,26.721544235033527
41,北马其顿,北马其顿,16,北马其顿,1,0,0,0,7.2354519205800685,3.017952795752632
42,美国,美国,42,美国,64,2,2,2,527.3581157276379,1112.9050036308156
43,摩洛哥,摩洛哥,43,摩洛哥,1,1,0,0,35.673396061731864,39.0925831357494
44,摩纳哥,摩纳哥,44,摩纳哥,1,0,0,0,0.8523161152170328,0.027462250009287616
45,墨西哥,墨西哥,45,墨西哥,5,0,0,0,131.3586095527125,173.73554611987979
46,尼泊尔,尼泊尔,46,尼泊尔,1,0,0,0,20.23630907856112,13.060309627616824
47,尼日利亚,尼日利亚,47,尼日利亚,1,0,0,0,41.78217691309874,76.66049680286469
48,挪威,挪威,48,挪威,25,6,0,0,267.8994298156042,81.57468541459626
49,葡萄牙,葡萄牙,49,葡萄牙,2,2,0,0,22.388757655282383,9.403946300113345
50,日本,日本,51,日本,268,14,6,0,104.78979920248702,38.62456043847649
51,瑞典,瑞典,52,瑞典,15,1,0,0,64.62631871977895,77.22779649392618
52,瑞士,瑞士,53,瑞士,30,6,0,0,11.567842828022984,5.104879920475219
53,塞内加尔,塞内加尔,54,塞内加尔,1,1,0,0,24.687196205215827,15.868518139954155
54,沙特阿拉伯,沙特阿拉伯,55,沙特阿拉伯,1,1,0,0,65.94437383515957,175.59795618430664
55,圣马力诺,圣马力诺,56,圣马力诺,8,7,0,0,1.1315150601924215,0.05342853514833507
56,斯里兰卡,斯里兰卡,57,斯里兰卡,1,0,0,0,10.823566818714909,5.654757879000185
57,泰国,泰国,58,泰国,43,1,1,0,57.346016213812554,43.62243168362355
58,突尼斯,突尼斯,59,突尼斯,1,1,0,0,22.458696037337344,15.988278012532524
59,西班牙,西班牙,60,西班牙,114,69,0,0,55.118841175901764,54.280343511511816
60,希腊,希腊,61,希腊,7,0,0,0,58.47034243451138,12.923495647177484
61,新加坡,新加坡,62,新加坡,108,2,0,0,1.9553307336349242,0.2523737098666097
62,新西兰,新西兰,63,新西兰,2,1,0,0,58.304165366366284,29.63120638720386
63,亚美尼亚,亚美尼亚,64,亚美尼亚,1,0,0,0,9.904000073855808,3.665524679494105
64,伊拉克,伊拉克,65,伊拉克,26,7,0,0,30.660664906794203,41.78992464134522
65,伊朗,伊朗,66,伊朗,1501,523,66,12,68.40164742880594,155.27545671985794
66,以色列,以色列,67,以色列,10,3,0,0,8.297262355484154,2.635821759653052
67,意大利,意大利,68,意大利,2036,347,52,17,62.44360010363238,33.478741916560494
68,印度,印度,69,印度,5,2,0,0,131.09065847419012,259.72588140084724
69,印度尼西亚,印度尼西亚,70,印度尼西亚,2,0,0,0,332.89793967106874,150.2324304884168
70,英国,英国,71,英国,39,3,0,0,80.6012340838105,32.931884776853764
71,约旦,约旦,72,约旦,1,1,0,0,16.44573457072095,8.174769097572026
72,越南,越南,73,越南,16,0,0,0,51.129595842029055,28.049825586585218
73,中国,中国,74,中国,80422,120,2984,38,260.04206422474147,965.6285542020123
74,其他,其他,50,其他,706,0,6,0,0.47041055884463034,0.013365553414913307
