OBJECTID,globe_中文名,name_cn,gb_yq_20200308xls_OBJECTID,地区国家,累计确诊,新增确诊,累计死亡,gb_yq_20200308xls_新增死亡,Shape_Length,Shape_Area
1,阿尔及利亚,阿尔及利亚,1,阿尔及利亚,17,0,0,0,68.11289203523224,213.6824817901263
2,阿富汗,阿富汗,2,阿富汗,4,3,0,0,46.10315447724969,61.25874997452199
3,阿根廷,阿根廷,3,阿根廷,9,7,1,1,124.43384391102639,278.07097318538524
4,阿联酋,阿联酋,4,阿联酋,45,0,0,0,15.781914584221616,7.623950770634311
5,阿曼,阿曼,5,阿曼,16,0,0,0,30.60536529088686,26.863630254245184
6,阿塞拜疆,阿塞拜疆,6,阿塞拜疆,9,0,0,0,20.694081153422545,8.877991750422158
7,埃及,埃及,7,埃及,48,45,0,0,46.51183683093997,88.79406872386022
8,爱尔兰,爱尔兰,8,爱尔兰,19,1,0,0,25.60628985993701,9.67974515082728
9,爱沙尼亚,爱沙尼亚,9,爱沙尼亚,10,0,0,0,19.427155810421777,6.571056220254507
10,安道尔,安道尔,10,安道尔,1,0,0,0,1.148365581641772,0.048186015059485804
11,奥地利,奥地利,11,奥地利,104,38,0,0,19.785455433542936,9.894883715319143
12,澳大利亚,澳大利亚,12,澳大利亚,74,12,3,1,218.54706975542805,697.4668706949112
13,巴基斯坦,巴基斯坦,13,巴基斯坦,5,0,0,0,71.22729220349414,74.32325893852614
14,巴林,巴林,14,巴林,56,7,0,0,0.7772869774829815,0.017878320008286028
15,巴西,巴西,15,巴西,19,6,0,0,203.68408592836326,713.6777002155402
16,白俄罗斯,白俄罗斯,16,白俄罗斯,6,0,0,0,26.620256515886354,29.22619005212672
17,保加利亚,保加利亚,19,保加利亚,2,2,0,0,18.486250579841048,12.036351750300607
18,比利时,比利时,20,比利时,169,60,0,0,9.590603160642818,3.8561271050731585
19,冰岛,冰岛,22,冰岛,45,0,0,0,44.847522370830106,19.530864421033492
20,波兰,波兰,24,波兰,6,1,0,0,29.423172375593367,41.04475511016577
21,不丹,不丹,25,不丹,1,0,0,0,8.209429426612896,3.265604484775075
22,丹麦,丹麦,26,丹麦,31,8,0,0,26.661887386371166,6.24551876266293
23,德国,德国,27,德国,795,156,0,0,43.899459389523734,46.496000691781006
24,多哥,多哥,28,多哥,1,0,0,0,12.905585097384508,4.596587935937527
25,多米尼加,多米尼加,29,多米尼加,1,0,0,0,11.055731619200202,4.114215997556154
26,俄罗斯,俄罗斯,30,俄罗斯,7,0,0,0,1086.6226050090904,2913.4201356909866
27,厄瓜多尔,厄瓜多尔,31,厄瓜多尔,14,0,0,0,31.184868452122494,20.283979588690894
28,法国,法国,32,法国,706,93,10,1,65.84948177344266,66.25266750373707
29,法属圭亚那,法属圭亚那,34,法属圭亚那,5,5,0,0,12.489485824908574,7.400661348997434
30,梵蒂冈,梵蒂冈,35,梵蒂冈,1,0,0,0,0.7842750336300661,0.014991910040506387
31,菲律宾,菲律宾,36,菲律宾,6,1,1,0,104.06761462124311,23.03913329305567
32,芬兰,芬兰,37,芬兰,19,0,0,0,54.27434433195834,62.15277280808904
33,哥伦比亚,哥伦比亚,38,哥伦比亚,1,0,0,0,61.59567021749172,92.59563807972012
34,哥斯达黎加,哥斯达黎加,39,哥斯达黎加,5,5,0,0,12.5587484329418,4.506711944937891
