OBJECTID,globe_中文名,name_cn,gb_yq_20200318xls_OBJECTID,地区国家,累计确诊,新增确诊,累计死亡,新增死亡,Shape_Length,Shape_Area
1,阿尔巴尼亚,阿尔巴尼亚,1,阿尔巴尼亚,55,4,1,0,7.973839727970497,2.9615437393915847
2,阿尔及利亚,阿尔及利亚,2,阿尔及利亚,60,11,4,0,68.11289203523224,213.6824817901263
3,阿富汗,阿富汗,3,阿富汗,22,1,0,0,46.10315447724969,61.25874997452199
4,阿根廷,阿根廷,4,阿根廷,65,9,2,0,124.43384391102639,278.07097318538524
5,阿联酋,阿联酋,5,阿联酋,98,0,0,0,15.781914584221616,7.623950770634311
6,阿曼,阿曼,7,阿曼,24,2,0,0,30.60536529088686,26.863630254245184
7,阿塞拜疆,阿塞拜疆,8,阿塞拜疆,21,0,0,0,20.694081153422545,8.877991750422158
8,埃及,埃及,9,埃及,166,40,4,2,46.51183683093997,88.79406872386022
9,埃塞俄比亚,埃塞俄比亚,10,埃塞俄比亚,5,1,0,0,43.97351072336223,93.69755942008183
10,爱尔兰,爱尔兰,11,爱尔兰,292,69,2,0,25.60628985993701,9.67974515082728
11,爱沙尼亚,爱沙尼亚,12,爱沙尼亚,225,20,0,0,19.427155810421777,6.571056220254507
12,安道尔,安道尔,13,安道尔,16,2,0,0,1.148365581641772,0.048186015059485804
13,奥地利,奥地利,15,奥地利,1332,373,3,2,19.785455433542936,9.894883715319143
14,澳大利亚,澳大利亚,16,澳大利亚,414,78,5,0,218.54706975542805,697.4668706949112
15,巴哈马,巴哈马,17,巴哈马,1,1,0,0,23.878201820394388,1.1782859882294523
16,巴基斯坦,巴基斯坦,18,巴基斯坦,187,134,0,0,71.22729220349414,74.32325893852614
17,巴拉圭,巴拉圭,19,巴拉圭,9,1,0,0,29.507348534862906,35.36356063685132
18,巴林,巴林,20,巴林,237,16,1,0,0.7772869774829815,0.017878320008286028
19,巴拿马,巴拿马,21,巴拿马,69,26,1,0,21.354909305120373,6.231212989740699
20,巴西,巴西,22,巴西,234,34,0,0,203.68408592836326,713.6777002155402
21,白俄罗斯,白俄罗斯,23,白俄罗斯,36,0,0,0,26.620256515886354,29.22619005212672
22,保加利亚,保加利亚,27,保加利亚,81,14,2,0,18.486250579841048,12.036351750300607
23,贝宁,贝宁,26,贝宁,1,1,0,0,17.007586183265026,10.201565074342176
24,比利时,比利时,28,比利时,1486,401,14,9,9.590603160642818,3.8561271050731585
25,冰岛,冰岛,30,冰岛,225,45,0,0,44.847522370830106,19.530864421033492
26,波多黎各,波多黎各,31,波多黎各,3,0,0,0,4.370298525952583,0.7359221104986653
27,波兰,波兰,33,波兰,246,96,5,2,29.423172375593367,41.04475511016577
28,玻利维亚,玻利维亚,34,玻利维亚,11,0,0,0,49.648701517101635,90.23410133435924
29,不丹,不丹,35,不丹,1,0,0,0,8.209429426612896,3.265604484775075
30,布基纳法索,布基纳法索,36,布基纳法索,20,5,0,0,24.998218258751336,22.92749673022636
31,赤道几内亚,赤道几内亚,37,赤道几内亚,1,0,0,0,8.117197849601027,2.4481406002445376
32,丹麦,丹麦,38,丹麦,977,79,4,3,26.661887386371166,6.24551876266293
33,德国,德国,39,德国,7156,1144,13,0,43.899459389523734,46.496000691781006
