OBJECTID,name_cn,globe_中文名,gb_yq_20200705xls_OBJECTID,地区国家,累计确诊,新增确诊,累计死亡,新增死亡,Shape_Length,Shape_Area
1,中国,中国,215,中国,85320,14,4648,0,260.0420642247383,965.6285542020121
2,中非,中非,214,中非,3969,51,48,0,39.123866083047595,51.868558185838914
3,智利,智利,213,智利,291847,3758,6192,141,206.21721206455481,76.94303951148804
4,直布罗陀,直布罗陀,212,直布罗陀,178,0,0,0,0.013883779737298728,6.9753811538143086e-06
5,乍得,乍得,211,乍得,871,0,74,0,50.18828397262692,107.57261660981025
6,泽西岛,泽西岛,210,泽西岛,320,1,31,0,0.4680456816075591,0.010293215375997679
7,赞比亚,赞比亚,209,赞比亚,1632,0,30,0,44.99223003303979,63.45705186734672
8,越南,越南,208,越南,355,0,0,0,51.12959584202981,28.049825586585435
9,约旦,约旦,207,约旦,1150,3,10,0,16.44573457072088,8.174769097572032
10,英国,英国,206,英国,284904,624,44198,67,79.9903954045675,32.91943771178979
11,印度尼西亚,印度尼西亚,205,印度尼西亚,62142,1447,3089,53,332.8979396710687,150.2324304884161
12,印度,印度,204,印度,673165,24850,19268,613,131.09065847419114,259.7258814008479
13,意大利,意大利,203,意大利,241419,235,34854,21,62.443600103632996,33.47874191656079
14,以色列,以色列,202,以色列,28433,944,326,2,8.297262355484367,2.635821759653274
15,伊朗,伊朗,201,伊朗,237878,2449,11408,148,68.40164742880606,155.2754567198577
16,伊拉克,伊拉克,200,伊拉克,58354,2334,2368,106,30.660664906794505,41.789924641345294
17,也门,也门,199,也门,1252,8,338,2,33.50044179970079,35.87496522122228
18,亚美尼亚,亚美尼亚,198,亚美尼亚,28606,706,484,7,9.904000073855858,3.665524679494062
19,牙买加,牙买加,197,牙买加,721,6,10,0,4.827981222792327,0.8247678758169521
20,叙利亚,叙利亚,196,叙利亚,338,10,10,0,20.62861988935827,18.55530574102352
21,匈牙利,匈牙利,195,匈牙利,4183,11,589,1,17.817278628285067,10.967678988804597
22,新西兰,新西兰,194,新西兰,1183,3,22,0,58.304165366366014,29.631206387203225
