OBJECTID,globe_OBJECTID,name_cn,globe_中文名,globe_Shape_Leng,gb_yq_20220909xls_OBJECTID,地区国家,累计确诊,新增确诊,累计死亡,新增死亡,Shape_Length,Shape_Area
1,1,中国,中国,260.042064225,230,中国,6259551,35716,25237,66,260.04206422474147,965.6285542020123
2,2,中非,中非,39.123866083,229,中非,14882,0,113,0,39.123866083048675,51.868558185838594
3,3,智利,智利,206.217212065,228,智利,4549927,5945,60696,48,206.21721206455453,76.94303951148807
4,4,直布罗陀,直布罗陀,0.0138837797373,227,直布罗陀,20069,0,108,0,0.013883779737236826,6.97538115385218e-06
5,5,乍得,乍得,50.1882839726,226,乍得,7547,0,193,0,50.18828397262675,107.57261660981044
6,6,泽西岛,泽西岛,0.468045681608,225,泽西岛,59270,39,137,1,0.46804568160716375,0.010293215375969375
7,7,赞比亚,赞比亚,44.992230033,224,赞比亚,332822,0,4016,0,44.99223003303926,63.45705186734683
8,8,越南,越南,51.129595842,223,越南,11431823,3191,43126,1,51.129595842029055,28.049825586585218
9,9,约旦,约旦,16.4457345707,222,约旦,1738867,0,14114,0,16.44573457072095,8.174769097572026
10,10,英国,英国,79.9903954046,221,英国,23554971,2093,189026,0,79.99039540456778,32.91943771179002
11,11,印度尼西亚,印度尼西亚,332.897939671,220,印度尼西亚,6387944,2804,157741,12,332.89793967106874,150.2324304884168
12,12,印度,印度,131.090658474,219,印度,44484729,6093,528121,31,131.09065847419012,259.72588140084724
13,13,意大利,意大利,62.4436001036,218,意大利,22004612,17317,176098,89,62.44360010363238,33.478741916560494
14,14,以色列,以色列,8.29726235548,217,以色列,4640709,975,11656,0,8.297262355484154,2.635821759653052
15,15,伊朗,伊朗,68.4016474288,216,伊朗,7537081,864,144108,23,68.40164742880594,155.27545671985794
16,16,伊拉克,伊拉克,30.6606649068,215,伊拉克,2458509,0,25348,0,30.660664906794203,41.78992464134522
17,17,也门,也门,33.5004417997,214,也门,11932,1,2155,0,33.50044179970094,35.874965221221984
18,18,亚美尼亚,亚美尼亚,9.90400007386,213,亚美尼亚,436727,0,8662,0,9.904000073855808,3.665524679494105
19,19,牙买加,牙买加,4.82798122279,212,牙买加,150475,117,3270,1,4.827981222792307,0.8247678758169106
20,20,叙利亚,叙利亚,20.6286198894,211,叙利亚,57140,11,3163,0,20.628619889358337,18.555305741023673
21,21,匈牙利,匈牙利,17.8172786283,210,匈牙利,2058847,0,47367,0,17.81727862828512,10.96767898880457
22,22,新西兰,新西兰,58.3041653664,209,新西兰,1739718,1548,2890,9,58.304165366366284,29.63120638720386
23,23,新喀里多尼亚,新喀里多尼亚,0.315384694174,208,新喀里多尼亚,74125,0,314,0,0.3153846941739794,0.0043535203997104345
24,24,新加坡,新加坡,1.95533073363,207,新加坡,1854455,2169,1601,0,1.9553307336349242,0.2523737098666097
